Ⲛⲟ	Coptic Word	Deriv.	Alt.  Spellings	F.  (n. & adj.)	Pl.	(Status  nom.)	(Status pronom.)	Qual.	Gramm. Info.	Notes	Prepositions used	English	Example Sentence	
1	ⲁ								adv.	Cpd. As na, as in na se =m mahe to the extent of about a hundred cubits.		adverb of approximation, as in ⲁ ϯⲟⲩ 'about five', ⲁ ⲟⲩⲉⲣ 'about how much?'		
2	ⲁⲁⲥ		ⲁⲥ						n.			a blow, slap (usu. on face)		
3		ϯ-ⲁⲁⲥ, ϯ ⲛ ⲟⲩⲁⲁⲥ							vb.	(na-) s=c-=n-ac		to slap, strike		
4	ⲁⲃⲁϭⲏⲉⲓⲛ		ⲁⲃⲓϭⲏⲉⲓⲛ, ⲁⲃⲁⲕⲏⲓⲛⲉ, ⲁϥⲉϭⲉⲉⲛⲉ						n. m. f.			glass		
5	ⲁⲃⲱ				ⲁⲃⲟⲟⲩⲉ				n. f.			net (for fishing or hunting)		
6	ⲁⲃⲱ		ⲁⲃⲟⲕ	ⲁⲃⲟⲕⲉ	ⲁⲃⲟⲟⲕⲉ				n. m.			crow, raven		
7	ⲁⲉⲓⲕ								n. m.			consecration		
8		ϫⲓ-ⲁⲉⲓⲕ							vb.			to consecrate		
9	ⲁⲓⲁⲓ							ⲟⲓ	vb. Intr.			to increase (in age, size, stature); Q to be great, honored; as n.m. increase, growth		
10	ⲁⲉⲓⲏⲥ		ⲁⲏⲥ, ⲁⲉⲏⲥ						n. f. 			greatness, size, quantity		
11	ⲁⲕⲏⲥ		ⲁⲕⲉⲥ, ⲁⲕⲓⲥ						n. m.			girdle, clothing		
12	ⲁⲕⲱ		ⲁⲅⲱ, ⲅⲱ						n. f. 			filth; carrion; anything ruined		
13	ⲁⲗ								adj.			deaf		
14		ⲣ-ⲁⲗ						ⲟ ⲛ ⲁⲗ	cpd. vb. 2			to become deaf		
15	ⲁⲗ								n. m. 			pebble		
16		ⲁⲗ ⲙ ⲡⲉ							n. m. 			hail-stone		
17	ⲁϣ-ⲁⲗ								n. m.	cf. ⲱϣ		a cry		
18	ⲁⲗⲁⲩ		ⲁⲗⲉⲩ, ⲁⲗⲏⲩ						adj.			white		
19	ⲁⲗⲉ					ⲁⲗⲟ-		ⲁⲗⲏⲩ	vb. Intr.	(imptv. ⲁⲗⲱⲧⲛ); rarely tr. with ⲙⲙⲟ-	to, up to, onto: ⲉ, ⲉϩⲣⲁⲓ ⲉ, ⲉϫⲛ, ⲉϩⲣⲁⲓ ⲉϫⲛ	to go up, ascent; to mount (an animal), to board (a ship)		
20		ⲣⲉϥⲁⲗⲉ							n.			rider		
21	ⲁⲗⲓⲗ								n. m. 			field-mouse or sim.		
22	ⲁⲗⲕⲉ		ⲁⲗⲕⲏ						n. m.			last day of month		
23		ⲛ ⲁⲗⲕⲉ (ⲛ)							prep.			on the last day of (+ month name)		
24	ⲁⲗⲟⲕ								n. m.			corner, angle; prob. Not Sah. (cf. ⲕⲗϫⲉ)		
25	ⲁⲗⲟⲙ								n. m.			bosom		
26	ⲁⲗⲟⲩ								n. m.	cf. ϣⲏⲣⲉ		child, servant; not properly Sah.		
27	ⲁⲗⲟϭ								n. m.			thigh		
28	ⲁⲗⲧⲕⲁⲥ								n. m. 			bone-marrow		
29	ⲁⲗⲱ		ⲉⲗⲱ		ⲁⲗⲟⲟⲩⲉ, ⲉⲗⲟⲟⲩⲉ				n. 			snare, trap		
30	ⲁⲗⲱ		ⲁⲗⲟⲩ		ⲁⲗⲟⲟⲩⲉ, ⲁⲗⲁⲩⲉ, ⲁⲣⲟⲟⲩⲉ				n. f.			pupil of eye		
31	ⲁⲗⲱⲧ								n. f.			forced labor; term of service; a measure		
32	ⲁⲗⲱⲟⲩⲉ								n. pl.			bunch (of grapes) or sim.		
33	ⲁⲙⲁ								prop. n.	cf. ⲁⲡⲁ		fem. title of respect or reverence		
34	ⲁⲙⲁϩⲧⲉ								vb. Intr.			to prevail, take control, rule (over: ⲉϫⲛ, ϩⲓϫⲛ); to be valid, hold good; to preserve, continue		
35	ⲁⲙⲁϩⲧⲉ								vb. Tr.			to grasp, seize, take possession of (ⲙⲙⲟ-); to retain, detain, take or keep captive; to learn by heart; to hold (ⲙⲙⲟ-) liable (for: ⲉ)		
36	ⲁⲙⲁϩⲧⲉ								n. m.			power, possession		
37		ⲁⲧⲁⲙⲁϩⲧⲉ							adj.			unrestrained, uncontrollable		
38		ⲙⲛⲧⲁⲧⲁⲙⲁϩⲧⲉ							n. f.			lack of restraint, incontinence.		
39		ⲣⲉϥⲁⲙⲁϩⲧⲉ							n. / adj.			self-controlled person		
40	ⲁⲙⲉ				ⲁⲙⲏⲩ, ⲁⲙⲏⲩⲉ				n. m. 			herder, herdsman		
41	ⲁⲛⲏ								n. m.			wasp		
42	ⲁⲙⲛⲧⲉ								n. m.			the underworld, Hades		
43	ⲁⲙⲟⲩ			ⲁⲙⲏ	ⲁⲙⲏⲓⲛ, ⲁⲙⲏⲉⲓⲧⲛ				imptv.	2nd pers. m. s.		Imperative of ⲉⲓ (to come), 'come!'		
44	ⲁⲙⲣⲉ		ⲁⲙⲣⲏ		ⲁⲙⲣⲏⲩ				n. m. 			baker		
45		ⲙⲛⲧⲁⲙⲣⲉ							n. f.			baking		
46	ⲁⲙⲣⲏϩⲉ		ⲁⲙⲣⲉϩⲉ						n. m.			bitumen, asphalt		
47	ⲁⲛ								part.	neg.		not		
48	ⲁⲛ-					ⲁⲛ-			pref.	only in cpds. with nos.		one who is in charge of		
49		ⲁⲛ-ⲙⲏⲧ							n.			decadarch		
50		ⲁⲛ-ϣⲟ							n.			chiliarch		
51		ⲙⲛⲧⲁⲛ-ϣⲟ							n. f.			chiliarchy		
52	ⲁⲛ-					ⲁⲛ-			pref.			prefix for forming collective nouns from numbers as in ⲁⲛ-ϣⲟ '(group of) a thousand'		
53		ⲁⲛ-ⲧⲁⲓⲟⲩ							n.			(group of) 50		
54	ⲁⲛⲁⲓ								vb. Intr. 			to become pleasing, better		
55	ⲁⲛⲁⲓ								n. m.			beauty		
56		ⲣ ⲁⲛⲁⲓ							vb.			to be(come) pleasing, good		
57		ⲣ-ⲁⲛⲁ-							vb.			to please		
58	ⲁⲛⲁϣ				ⲁⲛⲁⲩϣ				n. m. 	used with eire, cmine, wr=k, ], tarko		oath		
59		ⲉ ⲡⲁⲛⲁϣ							adv.			under oath		
60	ⲁⲛⲟⲕ		ⲁⲛⲅ-						indep. Pron. 1st pers. Sing.			I		
61	ⲁⲛⲟⲛ		ⲁⲛ-, ⲁⲛⲛ-						inep. Pron. 1st pers. Pl.			we		
62	ⲁⲛⲟⲩⲣϣⲉ								n. m.	(an + ou=rse)		watchman, guard		
63	ⲁⲛⲥⲏⲃⲉ		ⲁⲛⲥⲏⲃ (ⲉⲛ), ⲁⲛⲍⲏⲃⲉ, ⲁⲛⲍⲏⲃ (ⲉⲛ)						n. f.			school		
64	ⲁⲛⲧⲁϣ								n. m.			sneeze		
65	ⲁⲛⲧⲏⲗⲙ		ⲁⲛⲧⲉⲗⲙ						n. m.			skull		
66	ⲁⲛϩ		ⲟⲛϩ						n. m.			courtyard		
67	ⲁⲡⲁ								prop. n.			masc. title of respect or reverance (saints, martyrs, respected monks, etc.)		
68	ⲁⲡⲁⲥ								adj.	syn. of ⲁⲥ q.v.		old		
69	ⲁⲡⲉ				ⲁⲡⲏⲩⲉ				n. f. 			head (lit. and fig.); total sum (of money), capital		
70	ⲁⲡⲉ								n. m.			chief, village head		
71		ⲙⲛⲧⲁⲡⲉ							n. f. 			headship		
72		ⲁⲧⲁⲡⲉ							adj.			headless		
73		ⲣ-ⲁⲡⲉ							cpd. vb. 2		of: ⲉ	to become head, leader		
74		ϥⲓ-ⲧⲁⲡⲉ							vb.			to behead		
75	ⲁⲡⲟⲧ				ⲁⲡⲏⲧ				n. m.			cup		
