Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲁ							adv.	Cpd. As na, as in na se =m mahe to the extent of about a hundred cubits.	adverb of approximation, as in a ]ou about five, a ouyr about how much?
ⲁⲁⲥ	ⲁⲥ						n.		a blow, slap (usu. On face)
ϯ-ⲁⲁⲥ, ϯ ⲛ ⲟⲩⲁⲁⲥ								(na-) s=c-=n-ac	to slap, strike
ⲁⲃⲁϭⲏⲉⲓⲛ	ⲁⲃⲓϭⲏⲉⲓⲛ, ⲁⲃⲁⲕⲏⲓⲛⲉ, ⲁϥⲉϭⲉⲉⲛⲉ						n. m. f.		glass
ⲧ.ⲁⲃⲱ			ⲁⲃⲟⲟⲩⲉ				n. f.		net (for fishing or hunting)
ⲡ.ⲁⲃⲱ	ⲁⲃⲟⲕ	ⲁⲃⲟⲕⲉ	ⲁⲃⲟⲟⲕⲉ				n. m.		crow, raven
ⲡ.ⲁⲉⲓⲕ							n. m.		consecration
ϫⲓ-ⲁⲉⲓⲕ									to consecrate
ⲁⲓⲁⲓ						ⲟⲓ	vb. Intr.		to increase (in age, size, stature); Q to be great, honored; as n.m. increase, growth
ⲁⲉⲓⲏⲥ	ⲁⲏⲥ, ⲁⲉⲏⲥ						n. f. 		greatness, size, quantity
ⲡ.ⲁⲕⲏⲥ	ⲁⲕⲉⲥ, ⲁⲕⲓⲥ						n. m.		girdle, clothing
ⲁⲕⲱ	ⲁⲅⲱ, ⲅⲱ						n. f. 		filth; carrion; anything ruined
ⲁⲗ							adj.		deaf
ⲣ-ⲁⲗ						ⲟ ⲛ ⲁⲗ			to become deaf
ⲁⲗ							n. m. 		pebble
ⲁⲗ ⲙ ⲡⲉ							n. m. 		hail-stone
ⲡ.ⲁϣ-ⲁⲗ							n. m.		a cry (cf. ws)
ⲁⲗⲁⲩ	ⲁⲗⲉⲩ, ⲁⲗⲏⲩ						adj.		white
ⲁⲗⲉ				ⲁⲗⲟ-		ⲁⲗⲏⲩ	vb. Intr.	(imptv. Alwt=n)	to go up, ascent (to, up to, onto: ⲉ, ⲉϩⲣⲁⲓ e, ⲉϫⲛ, ⲉϩⲣⲁⲓ ej-n); to mount (an animal), to board (a ship); rarely tr. With ⲙⲙⲟ-
ⲣⲉϥⲁⲗⲉ									rider
ⲁⲗⲓⲗ							n. m. 		field-mouse or sim.
ⲡ.ⲁⲗⲕⲉ	ⲁⲗⲕⲏ						n. m.		last day of month
ⲛ ⲁⲗⲕⲉ (ⲛ)									on the last day of (+ month name)
ⲡ.ⲁⲗⲟⲕ							n. m.		corner, angle; prob. Not Sah. (cf. k=lje)
ⲡ.ⲁⲗⲟⲙ							n. m.		bosom
ⲡ.ⲁⲗⲟⲩ							n. m.		child, servant; not properly Sah. (cf. syre)
ⲡ.ⲁⲗⲟϭ							n. m.		thigh
ⲁⲗⲧⲕⲁⲥ							n. m. 		bone-marrow
ⲁⲗⲱ	ⲉⲗⲱ		ⲁⲗⲟⲟⲩⲉ, ⲉⲗⲟⲟⲩⲉ				n. 		snare, trap
ⲧ.ⲁⲗⲱ	ⲁⲗⲟⲩ		ⲁⲗⲟⲟⲩⲉ, ⲁⲗⲁⲩⲉ, ⲁⲣⲟⲟⲩⲉ				n. f.		pupil of eye
ⲁⲗⲱⲧ							n. t.		forced labor; term of service; a measure
ⲁⲗⲱⲟⲩⲉ							n. pl.		bunch (of grapes) or sim.
ⲁⲙⲁ									Ama; fem. Title of respect or reverence; cf. apa
ⲁⲙⲁϩⲧⲉ							vb. Intr.		to prevail, take control, rule (over: ⲉϫⲛ, hijⲛ); to be valid, hold good; to preserve, continue
ⲁⲙⲁϩⲧⲉ							vb. Tr.		to grasp, seize, take possession of (ⲙⲙⲟ-); to retain, detain, take or keep captive; to learn by heart; to hold (ⲙⲙⲟ-) liable (for: ⲉ)
ⲡ.ⲁⲙⲁϩⲧⲉ							n. m.		power, possession
ⲁⲧⲁⲙⲁϩⲧⲉ									unrestrained, uncontrollable
ⲙⲛⲧⲁⲧⲁⲙⲁϩⲧⲉ									lack of restraint, incontinence.
ⲣⲉϩⲁⲙⲁϩⲧⲉ									self-controlled person
ⲁⲙⲉ			ⲁⲙⲏⲩ, ⲁⲙⲏⲩⲉ				n. m. 		herder, herdsman
ⲡ.ⲁⲛⲏ							n. m.		wasp
ⲡ.ⲁⲙⲛⲧⲉ							n. m.		the underworld, Hades
ⲁⲙⲟⲩ		ⲁⲙⲏ	ⲁⲙⲏⲓⲛ, ⲁⲙⲏⲉⲓⲧⲛ						2nd pers.m. s. imptv. Of ei;
ⲁⲙⲣⲉ	ⲁⲙⲣⲏ		ⲁⲙⲣⲏⲩ				n. m. 		baker
ⲙⲛⲧⲁⲙⲣⲉ									baking
ⲡ.ⲁⲙⲣⲏϩⲉ	ⲁⲙⲣⲉϩⲉ						n. m.		bitumen, asphalt
ⲁⲛ							neg. part.		not
ⲁⲛ-				ⲁⲛ-					one who is in charge of; only in cpds. With nos.
ⲁⲛ-ⲙⲏⲧ									decadarch
ⲁⲛ-ϣⲟ									chiliarch
ⲙⲛⲧⲁⲛ-ϣⲟ									chiliarchy
ⲁⲛ-				ⲁⲛ-					prefix for forming collective nouns from numbers as in an-so (group of) a thousand
ⲁⲛ-ⲧⲁⲓⲟⲩ									(group of) 50
ⲁⲛⲁⲓ							vb. Intr. 		to become pleasing, better
ⲡ.ⲁⲛⲁⲓ							n. m.		beauty
ⲣ ⲁⲛⲁⲓ									to be(come) pleasing, good
ⲣ-ⲁⲛⲁ-									to please
